Ministerstwo Sprawiedliwości
Departament Zawodów Prawniczych 

EGZAMIN WSTĘPNY 
DLA KANDYDATÓW NA APLIKANTÓW 
KOMORNICZYCH
24 WRZEŚNIA 2022 R.
ZESTAW PYTAŃ TESTOWYCH
  Pouczenie:

 1.	Zestaw pytań testowych i kartę odpowiedzi oznacza się indywidualnym kodem. Wylosowany numer kodu kandydat wpisuje w prawym górnym rogu na pierwszej stronie zestawu pytań testowych i na każdej stronie karty odpowiedzi. Nie jest dopuszczalne w żadnym miejscu zestawu pytań testowych i karty odpowiedzi wpisanie imienia i nazwiska ani też podpisanie się własnym imieniem i nazwiskiem. 
B.	odmowę przyjęcia oferty,
C.	zaproszenie do negocjacji.

13.	Zgodnie z Kodeksem cywilnym, pełnomocnictwo ogólne obejmuje umocowanie:
A.	do czynności zwykłego zarządu,
B.	do czynności przekraczających zakres zwykłego zarządu,
C.	do czynności zwykłego zarządu oraz do czynności przekraczających zakres zwykłego zarządu.

14.	Zgodnie z Kodeksem cywilnym, termin półmiesięczny jest równy:
A.	czternastu dniom,
B.	piętnastu dniom,
C.	dwóm tygodniom.

15.	Zgodnie z Kodeksem cywilnym, jeżeli właściciel nieruchomości, przeciwko któremu biegnie zasiedzenie, jest małoletni, zasiedzenie nie może skończyć się wcześniej niż z upływem:
A.	dwóch lat od uzyskania pełnoletności przez właściciela,
B.	trzech lat od uzyskania pełnoletności przez właściciela,
C.	pięciu lat od uzyskania pełnoletności przez właściciela.


16.	Zgodnie z Kodeksem cywilnym, każdy ze współwłaścicieli niesprawujących zarządu rzeczą wspólną:
A.	zawsze jest obowiązany żądać w odpowiednich terminach rachunku z zarządu,
B.	może żądać w odpowiednich terminach rachunku z zarządu,
C.	nigdy nie jest uprawniony do żądania rachunku z zarządu.

17.	Zgodnie z Kodeksem cywilnym, wierzyciel:
A.	może żądać osobistego świadczenia dłużnika tylko wtedy, gdy to wynika z zasad współżycia społecznego i ustalonych zwyczajów,
B.	może żądać osobistego świadczenia dłużnika tylko wtedy, gdy to wynika z treści czynności prawnej, z ustawy albo z właściwości świadczenia,
C.	nigdy nie może żądać osobistego świadczenia dłużnika.

18.	Zgodnie z Kodeksem cywilnym, zobowiązanie jest solidarne, jeżeli to wynika:
A.	z ustalonych zwyczajów,
B.	z ustawy lub z czynności prawnej,
C.	z zasad współżycia społecznego.

19.	Zgodnie z Kodeksem cywilnym, zwłoka dłużnika, jak również przerwanie lub zawieszenie biegu przedawnienia względem jednego z wierzycieli solidarnych:
A.	ma skutek także względem współwierzycieli,
B.	nie ma skutku względem współwierzycieli,
C.	ma skutek tylko względem tego jednego wierzyciela.

20.	Zgodnie z Kodeksem cywilnym, jeżeli jest kilku wierzycieli uprawnionych do świadczenia niepodzielnego:
A.	każdy z nich może żądać spełnienia odpowiedniej części świadczenia,
B.	każdy z nich może żądać spełnienia całego świadczenia,
C.	żaden z nich nie może żądać spełnienia całego świadczenia.

21.	Zgodnie z Kodeksem cywilnym, w razie sprzeczności treści umowy z wzorcem umowy:
A.	umowa staje się nieważna,
B.	strony są związane umową,
C.	strony są związane wzorcem umowy.
22.	Zgodnie z Kodeksem cywilnym, gdy dwie osoby są jednocześnie względem siebie dłużnikami i wierzycielami, każda z nich może potrącić swoją wierzytelność z wierzytelności drugiej strony, jeżeli przedmiotem obu wierzytelności są pieniądze lub rzeczy tej samej jakości oznaczone tylko co do gatunku, a obie wierzytelności są wymagalne i mogą być dochodzone przed sądem lub przed innym organem państwowym; wskutek potrącenia obie wierzytelności:
A.	umarzają się nawzajem do wysokości wierzytelności niższej,
B.	umarzają się nawzajem do wysokości wierzytelności wyższej,
C.	umarzają się najwyżej do połowy wartości każdej z tych wierzytelności.

23.	Zgodnie z Kodeksem cywilnym, na skutek odnowienia zobowiązanie dotychczasowe:
A.	wygasa,
B.	staje się nieważne,
C.	nie wygasa, ale staje się zobowiązaniem naturalnym.

24.	Zgodnie z Kodeksem cywilnym, jeżeli termin zwrotu pożyczki nie jest oznaczony, dłużnik obowiązany jest zwrócić pożyczkę:
A.	w ciągu sześciu tygodni po wydaniu przedmiotu pożyczki,
B.	w ciągu sześciu tygodni po wypowiedzeniu przez dającego pożyczkę,
C.	w ciągu trzech miesięcy po wypowiedzeniu przez dającego pożyczkę.

25.	Zgodnie z Kodeksem cywilnym, jeżeli wykonanie zlecenia wymaga wydatków, dający zlecenie:
A.	zawsze przekazuje przyjmującemu zlecenie odpowiednią zaliczkę,
B.	powinien na żądanie przyjmującego zlecenie udzielić mu odpowiedniej zaliczki,
C.	zawsze obowiązany jest udzielić przyjmującemu zlecenie zaliczki nie niższej niż 20% wartości zlecenia.

26.	Zgodnie z Kodeksem cywilnym, z ważnych powodów każdy wspólnik spółki cywilnej może żądać:
A.	rozwiązania spółki przez sąd,
B.	ogłoszenia przez sąd upadłości spółki,
C.	wszczęcia wobec spółki postępowania sanacyjnego.
27.	Zgodnie z Kodeksem cywilnym, przez umowę poręczenia poręczyciel zobowiązuje się względem wierzyciela wykonać zobowiązanie na wypadek, gdyby dłużnik zobowiązania nie wykonał; oświadczenie poręczyciela powinno być złożone:
A.	na piśmie pod rygorem nieważności,
B.	w formie aktu notarialnego pod rygorem nieważności,
C.	na piśmie wyłącznie dla celów dowodowych.

28.	Zgodnie z Kodeksem cywilnym, można poręczyć:
A.	za dług przyszły w wysokości nieoznaczonej,
B.	za dług przyszły do wysokości z góry oznaczonej,
C.	wyłącznie za dług istniejący w chwili zawarcia umowy poręczenia.

29.	Zgodnie z Kodeksem cywilnym, uznania spadkobiercy za niegodnego:
A.	może żądać każdy, kto ma w tym interes,
B.	mogą żądać wyłącznie pozostali spadkobiercy,
C.	mogą żądać wyłącznie wierzyciele spadkodawcy.

30.	Zgodnie z Kodeksem cywilnym, testament może zawierać rozrządzenia:
A.	kilku osób, o ile zmarły jednocześnie,
B.	obojga małżonków,
C.	tylko jednego spadkodawcy.

31.	Zgodnie z Kodeksem cywilnym, przedmiotem zapisu windykacyjnego może być:
A.	rzecz oznaczona tylko co do gatunku,
B.	ogół praw i obowiązków wspólnika spółki kapitałowej,
C.	rzecz oznaczona co do tożsamości.

32.	Zgodnie z Kodeksem cywilnym, jeżeli osoba powołana jako wykonawca testamentu nie chce tego obowiązku przyjąć, składa odpowiednie oświadczenie:
A.	przed sądem albo notariuszem,
B.	przed kierownikiem urzędu stanu cywilnego,
C.	wobec wójta (burmistrza, prezydenta miasta), starosty, marszałka województwa, sekretarza powiatu albo gminy.

33.	Zgodnie z Kodeksem cywilnym, do chwili przyjęcia spadku spadkobierca:
A.	ponosi odpowiedzialność za długi spadkowe tylko ze spadku,
B.	nie ponosi odpowiedzialności za długi spadkowe,
C.	ponosi odpowiedzialność za długi spadkowe z całego swego majątku.

34.	Zgodnie z Kodeksem cywilnym, do chwili działu spadku spadkobiercy:
A.	nie ponoszą odpowiedzialności za długi spadkowe,
B.	ponoszą odpowiedzialność za długi spadkowe w stosunku do wielkości udziałów,
C.	ponoszą solidarną odpowiedzialność za długi spadkowe.

35.	Zgodnie z Kodeksem cywilnym, umowny dział spadku:
A.	może objąć cały spadek lub być ograniczony do części spadku,
B.	obejmuje wyłącznie cały spadek,
C.	nie jest nigdy dopuszczalny.

36.	Zgodnie z ustawą – Prawo wekslowe, weksel trasowany, płatny w pewien czas po okazaniu, powinien być przedstawiony do przyjęcia w ciągu roku od dnia wystawienia; wystawca może oznaczyć krótszy lub dłuższy termin; indosanci:
A.	mogą terminy te skrócić,
B.	mogą terminy te wydłużyć,
C.	nie mogą tych terminów ani skrócić ani wydłużyć.

37.	Zgodnie z ustawą o księgach wieczystych i hipotece, księga wieczysta dla spółdzielczego własnościowego prawa do lokalu zawiera:
A.	trzy działy,
B.	cztery działy,
C.	pięć działów.

38.	Zgodnie z ustawą o księgach wieczystych i hipotece, w razie wykreślenia hipoteki z księgi wieczystej bez ważnej podstawy prawnej hipoteka wygasa po upływie lat:
A.	trzech,
B.	pięciu,
C.	dziesięciu.

39.	Zgodnie z ustawą o własności lokali, okresem rozliczeniowym wspólnoty mieszkaniowej jest:
A.	miesiąc,
B.	kwartał,
C.	rok kalendarzowy.

40.	Zgodnie z ustawą o własności lokali, o zebraniu ogółu właścicieli lokali zarząd zawiadamia każdego właściciela lokalu na piśmie przynajmniej na:
A.	trzy dni przed terminem zebrania,
B.	pięć dni przed terminem zebrania,
C.	tydzień przed terminem zebrania.

41.	Zgodnie z ustawą o zastawie rejestrowym i rejestrze zastawów, jeżeli rzecz ruchoma obciążona zastawem rejestrowym stała się częścią składową nieruchomości, zastaw rejestrowy:
A.	wygasa,
B.	z mocy prawa przekształca się w hipotekę,
C.	może być przekształcony w hipotekę na wniosek zastawcy.

42. 	Zgodnie z ustawą o spółdzielniach mieszkaniowych, walne zgromadzenie spółdzielni mieszkaniowej jest ważne:
A.	tylko wówczas, jeżeli będzie obecna na nim co najmniej połowa członków spółdzielni mieszkaniowej,
B.	tylko wówczas, jeżeli będzie obecna na nim co najmniej jedna piąta członków spółdzielni mieszkaniowej,
C.	niezależnie od liczby obecnych na nim członków spółdzielni mieszkaniowej.

43.	Zgodnie z ustawą o ochronie praw lokatorów, mieszkaniowym zasobie gminy i o zmianie Kodeksu cywilnego, stawka czynszu w przypadku najmu socjalnego lokalu nie może przekraczać:
A.	1/4 stawki najniższego czynszu obowiązującego w mieszkaniowym zasobie gminy,
B.	1/3 stawki najniższego czynszu obowiązującego w mieszkaniowym zasobie gminy,
C.	połowy stawki najniższego czynszu obowiązującego w mieszkaniowym zasobie gminy.
44.	Zgodnie z ustawą o Krajowym Rejestrze Zadłużonych, organem prowadzącym w systemie teleinformatycznym Krajowy Rejestr Zadłużonych jest:
A.	minister właściwy do spraw finansów publicznych,
B.	Minister Sprawiedliwości,
C.	Prezes Rady Ministrów.

45.	Zgodnie z Kodeksem postępowania cywilnego, powództwo z tytułu dziedziczenia, zachowku, jak również z tytułu zapisu, polecenia oraz innych rozrządzeń testamentowych (gdy majątek spadkowy nie znajduje się w całości poza granicami Rzeczypospolitej Polskiej) wytacza się wyłącznie przed sąd ostatniego miejsca zwykłego pobytu spadkodawcy, a jeżeli miejsca jego zwykłego pobytu w Polsce nie da się ustalić, przed sąd:
A.	miejsca, w którym znajduje się majątek spadkowy lub jego część,
B.	miejsca zamieszkania lub siedziby powoda,
C.	miejsca zamieszkania lub siedziby pozwanego. 

46.	Zgodnie z Kodeksem postępowania cywilnego, sędzia jest wyłączony z mocy samej ustawy w sprawach:
A.	swego małżonka, krewnych lub powinowatych w linii prostej, krewnych bocznych do czwartego stopnia i powinowatych bocznych do drugiego stopnia,
B.	w których istnieje okoliczność tego rodzaju, że mogłaby wywołać uzasadnioną wątpliwość co do bezstronności sędziego w danej sprawie,
C.	o odszkodowanie z tytułu szkody wyrządzonej przez wydanie prawomocnego orzeczenia niezgodnego z prawem, jeżeli nie brał udziału w wydaniu tego orzeczenia.

47.	Zgodnie z Kodeksem postępowania cywilnego, inspektorzy pracy mogą wytaczać powództwa na rzecz obywateli, a także wstępować, za zgodą powoda, do postępowania w każdym jego stadium w sprawach:
A.	z zakresu ubezpieczeń społecznych,
B.	o ustalenie istnienia stosunku pracy,
C.	o odszkodowanie lub zadośćuczynienie w wyniku stosowania mobbingu.

48.	Zgodnie z Kodeksem postępowania cywilnego, dla strony będącej osobą prawną, gdy w jej organie zachodzą braki uniemożliwiające jej reprezentację, sąd orzekający, na wniosek strony przeciwnej, ustanawia:
A.	doradcę tymczasowego,
B.	kuratora,
C.	opiekuna.

49.	Zgodnie z Kodeksem postępowania cywilnego, interwenient uboczny może wejść do procesu na miejsce strony, do której przystąpił:
A. 	tylko za zgodą strony, do której przystąpił,
B. 	za zgodą stron,
C. 	nawet mimo sprzeciwu przeciwnika strony, do której przystąpił.

50.	Zgodnie z Kodeksem postępowania cywilnego, w sprawach własności intelektualnej pełnomocnikiem procesowym strony może być także:
A.	rzecznik patentowy,
B.	osoba posiadająca licencję doradcy restrukturyzacyjnego,
C.	powiatowy (miejski) rzecznik konsumentów.

51.	Zgodnie z Kodeksem postępowania cywilnego, w razie śmierci strony albo utraty przez nią zdolności sądowej udzielone przez nią pełnomocnictwo procesowe:
A.	wygasa, jednakże pełnomocnik procesowy działa aż do czasu zawieszenia postępowania,
B.	nie wygasa, a pełnomocnik procesowy reprezentuje następców prawnych strony,
C.	wygasa tylko wtedy, jeżeli sąd zwolnił pełnomocnika z obowiązku zastępowania strony.

52.	Zgodnie z Kodeksem postępowania cywilnego, jeżeli strony nie postanowiły w ugodzie sądowej inaczej, koszty procesu, w którym zawarto ugodę:
A.	znosi się wzajemnie,
B.	ponosi zawsze powód, 
C.	ponosi zawsze pozwany.

53.	Zgodnie z Kodeksem postępowania cywilnego, o kosztach procesu należnych stronie działającej bez adwokata, radcy prawnego lub rzecznika patentowego sąd orzeka:
A.	z urzędu,
B.	tylko na wniosek tej strony,
C.	z urzędu tylko na rzecz strony korzystającej z ustawowego zwolnienia od kosztów sądowych.

54.	Zgodnie z Kodeksem postępowania cywilnego, zarządzenie przewodniczącego o zwrocie pozwu doręcza się:
A.	powodowi i pozwanemu,
B.	tylko powodowi,
C.	tylko pozwanemu.

55.	Zgodnie z Kodeksem postępowania cywilnego, jeżeli strona lub jej przedstawiciel ustawowy znajduje się w miejscowości pozbawionej wskutek nadzwyczajnych wydarzeń komunikacji z siedzibą sądu, sąd:
A.	umarza postępowanie,
B.	zawiesza postępowanie z urzędu,
C.	odrzuca pozew.

56.	Zgodnie z Kodeksem postępowania cywilnego, pozwany, przeciwko któremu zapadł wyrok zaoczny, może złożyć w ciągu dwóch tygodni od doręczenia mu wyroku:
A.	sprzeciw,
B.	zarzuty,
C.	apelację.

57.	Zgodnie z Kodeksem postępowania cywilnego, apelację od wyroku sądu rejonowego rozpoznaje:
A.	sąd rejonowy, który wydał zaskarżony wyrok w składzie trzech sędziów,
B.	sąd okręgowy,
C.	sąd apelacyjny.

58.	Zgodnie z Kodeksem postępowania cywilnego, w postępowaniu rozpoznawczym zażalenie do sądu drugiej instancji przysługuje na postanowienie sądu pierwszej instancji o:
A.	zawieszeniu postępowania,
B.	odmowie zwolnienia od kosztów sądowych,
C.	stwierdzeniu prawomocności orzeczenia.

59.	Zgodnie z Kodeksem postępowania cywilnego, skarga kasacyjna jest niedopuszczalna między innymi w sprawach o:
A.	rozwód, o separację, o alimenty, o czynsz najmu lub dzierżawy oraz o naruszenie posiadania,
B.	przyznanie i o wstrzymanie emerytury lub renty oraz o objęcie obowiązkiem ubezpieczenia społecznego,
C.	odszkodowanie z tytułu wyrządzenia szkody przez wydanie prawomocnego orzeczenia niezgodnego z prawem.

60.	Zgodnie z Kodeksem postępowania cywilnego, sprawami gospodarczymi nie są sprawy:
A.	z zakresu prawa upadłościowego i restrukturyzacyjnego,
B.	z umów o roboty budowlane oraz ze związanych z procesem budowlanym umów służących wykonaniu robót budowlanych,
C.	o podział majątku wspólnego wspólników spółki cywilnej po jej ustaniu. 

61.	Zgodnie z Kodeksem postępowania cywilnego, w postępowaniu nieprocesowym, od postanowień sądu pierwszej instancji orzekających co do istoty sprawy przysługuje:
A.	zażalenie,
B.	odwołanie,
C.	apelacja.



62.	Zgodnie z Kodeksem postępowania cywilnego, na czynności komornika przysługuje skarga do sądu rejonowego, jeżeli ustawa nie stanowi inaczej; skarga nie przysługuje na:
A.	zawiadomienie o terminie czynności,
B.	postanowienie komornika w przedmiocie kosztów egzekucji,
C.	zajęcie wierzytelności z rachunku bankowego.

63.	Zgodnie z Kodeksem postępowania cywilnego, tytułowi egzekucyjnemu wydanemu przeciwko osobie pozostającej w związku małżeńskim sąd nada klauzulę wykonalności także przeciwko jej małżonkowi z ograniczeniem jego odpowiedzialności do majątku objętego wspólnością majątkową, jeżeli stwierdzona tytułem egzekucyjnym wierzytelność powstała z czynności prawnej dokonanej za zgodą małżonka dłużnika, a wierzyciel wykaże ten fakt:
A.	wyłącznie dokumentem urzędowym,
B.	wyłącznie dokumentem prywatnym z podpisem urzędowo poświadczonym,
C.	dokumentem urzędowym lub prywatnym.

64.	Zgodnie z Kodeksem postępowania cywilnego, komornik obowiązany jest uzyskać z centralnej informacji o zastawach rejestrowych dane o tym, czy dłużnik jest zastawcą zastawu rejestrowego oraz kto jest zastawnikiem, w każdej sprawie, jeżeli prowadzi egzekucję o świadczenie przekraczające:
A.	dziesięć tysięcy złotych,
B.	piętnaście tysięcy złotych,
C.	dwadzieścia tysięcy złotych. 

65.	Zgodnie z Kodeksem postępowania cywilnego, jeżeli sąd zawiesił natychmiastową wykonalność tytułu wykonawczego lub wstrzymał jego wykonanie albo dłużnik złożył zabezpieczenie konieczne według orzeczenia sądowego do zwolnienia go od egzekucji:
A.	na wniosek dłużnika postępowanie ulega zawieszeniu,
B.	na wniosek dłużnika postępowanie ulega umorzeniu,
C.	postępowanie ulega umorzeniu z urzędu.

66.	Zgodnie z Kodeksem postępowania cywilnego, postępowanie egzekucyjne umarza się w całości lub części z urzędu, jeżeli:
A.	okaże się, że egzekucja nie należy do organów sądowych,
B.	okaże się, że wierzyciel lub dłużnik nie ma zdolności procesowej ani przedstawiciela ustawowego,
C.	złożono skargę na czynności komornika.

67.	Zgodnie z Kodeksem postępowania cywilnego, w przypadku sprzedaży zajętych ruchomości w drodze licytacji publicznej, sprzedaż ruchomości na rzecz nabywcy dochodzi do skutku z chwilą:
A.	przybicia udzielonego przez komornika,
B.	podziału sumy uzyskanej z tej egzekucji,
C.	przysądzenia własności na rzecz nabywcy. 

68.	Zgodnie z Kodeksem postępowania cywilnego, zajęcie wierzytelności z rachunku bankowego dłużnika jest dokonane z chwilą:
A.	doręczenia bankowi zawiadomienia o zakazie wypłat z tego rachunku,
B.	doręczenia dłużnikowi (egzekwowanemu) zawiadomienia o zajęciu wierzytelności z rachunku bankowego,
C.	doręczenia wierzycielowi odpisu zawiadomienia banku o zakazie wypłat z rachunku.

69.	Zgodnie z Kodeksem postępowania cywilnego, tytuł wykonawczy wystawiony przeciwko osobie pozostającej w związku małżeńskim stanowi podstawę do zajęcia nieruchomości wchodzącej w skład majątku wspólnego; dalsze czynności egzekucyjne dopuszczalne są:
A.	jeżeli małżonek dłużnika nie sprzeciwi się prowadzeniu egzekucji z tej nieruchomości,
B.	jeżeli wierzyciel złoży zabezpieczenie na żądanie małżonka dłużnika,
C.	na podstawie tytułu wykonawczego wystawionego przeciwko obojgu małżonkom.



70.	Zgodnie z Kodeksem postępowania cywilnego, tytułowi egzekucyjnemu zasądzającemu alimenty, sąd nadaje klauzulę wykonalności:
A.	z urzędu,
B.	wyłącznie na wniosek wierzyciela,
C.	na wniosek komornika sądowego.

71.	Zgodnie z ustawą o kosztach sądowych w sprawach cywilnych, w sprawach o roszczenia wynikające z czynności bankowych od strony będącej konsumentem lub osobą fizyczną prowadzącą gospodarstwo rodzinne przy wartości przedmiotu sporu lub wartości przedmiotu zaskarżenia wynoszącej ponad 20 000 złotych pobiera się opłatę stałą w kwocie:
A.	3000 złotych,
B.	2000 złotych,
C.	1000 złotych.

72.	Zgodnie z ustawą o skardze na naruszenie prawa strony do rozpoznania sprawy w postępowaniu przygotowawczym prowadzonym lub nadzorowanym przez prokuratora i postępowaniu sądowym bez nieuzasadnionej zwłoki, jeżeli skarga dotyczy przewlekłości postępowania przed wojewódzkim sądem administracyjnym lub Naczelnym Sądem Administracyjnym – właściwy do jej rozpoznania jest:
A.	wojewódzki sąd administracyjny,
B.	Sąd Najwyższy,
C.	Naczelny Sąd Administracyjny.

73.	Zgodnie z Kodeksem karnym, występek można popełnić:
A.	umyślnie, a także nieumyślnie, jeżeli ustawa tak stanowi,
B.	umyślnie, a nigdy nie można popełnić nieumyślnie,
C.	nieumyślnie, a nigdy nie można popełnić umyślnie. 

74.	Zgodnie z Kodeksem karnym, kto w zamiarze popełnienia czynu zabronionego swoim zachowaniem bezpośrednio zmierza do jego dokonania, które jednak nie następuje, odpowiada za:
A.	usiłowanie,
B.	przygotowanie,
C.	podżeganie.
75.	Zgodnie z Kodeksem karnym, w czasie odbywania kary ograniczenia wolności skazany:
A.	może bez zgody sądu zmieniać miejsce stałego pobytu,
B.	nigdy nie może zmieniać miejsca stałego pobytu,
C.	nie może bez zgody sądu zmieniać miejsca stałego pobytu.

76. 	Zgodnie z Kodeksem karnym, pozbawienie praw publicznych jest:
A.	środkiem zabezpieczającym,
B.	środkiem karnym,
C.	karą.

77.	Zgodnie z Kodeksem karnym, warunkowe umorzenie postępowania karnego następuje na okres próby, który wynosi od roku do 3 lat i biegnie od:
A.	wydania orzeczenia przez sąd pierwszej instancji,
B.	uprawomocnienia się orzeczenia,
C.	doręczenia orzeczenia sprawcy.

78.	Zgodnie z ustawą o Krajowym Rejestrze Sądowym, jeżeli okaże się, że w Krajowym Rejestrze Sądowym znajduje się wpis zawierający oczywiste błędy, sąd:
A.	dokona wpisu ostrzeżenia,
B.	z urzędu sprostuje wpis,
C.	nie podejmie żadnej czynności bez wniosku uprawnionego podmiotu.

79.	Zgodnie z ustawą o Centralnej Ewidencji i Informacji o Działalności Gospodarczej i Punkcie Informacji dla Przedsiębiorcy, zadaniem Centralnej Ewidencji i  Informacji o Działalności Gospodarczej (CEIDG) nie jest:
