WYKAZ PRAWIDŁOWYCH ODPOWIEDZI DO ZESTAWU PYTAŃ TESTOWYCH
NA EGZAMIN WSTĘPNY NA APLIKACJĘ KOMORNICZĄ 
24 WRZEŚNIA 2022 R.

nr pytania	prawidłowa
odpowiedź	podstawa prawna
47.	B	art. 631 k.p.c. 
48.	B	art. 69 § 1 k.p.c. 
49.	B	art. 83 k.p.c. 
50.	A	art. 87 § 1 k.p.c. 
51.	A	art. 96 k.p.c.
52.	A	art. 104 k.p.c. 
53.	A	art. 109 § 1 k.p.c. 
54.	B	art. 130 § 4 k.p.c.
55.	B	art. 174 § 1 pkt 3 k.p.c. 
56. 	A	art. 344 § 1 k.p.c.
57.	B	art. 367 § 2 k.p.c.
58.	A	art. 394 § 1 pkt 5 k.p.c. 
59.	A	art. 3982 § 2 pkt 1 k.p.c.
60.	C	art. 4582 § 2 pkt 1 k.p.c.
61.	C	art. 518 k.p.c. 
62.	A	art. 767 § 1 i 11 k.p.c. 
63.	C	art. 787 k.p.c. 
64.	C	art. 8051 § 2 k.p.c. 
65.	A	art. 820 k.p.c.
66.	A	art. 824 § 1 pkt 1 k.p.c. 
67.	A	art. 869 § 2 k.p.c.
68.	A	art. 890 § 1 k.p.c.
69.	C	art. 9231 § 1 k.p.c. 
70.	A	art. 1082 k.p.c. 
71.	C	art. 13a ustawy z dnia 28 lipca 2005 r. o kosztach sądowych w sprawach cywilnych
72.	C	art. 4 ust. 3 ustawy z dnia 17 czerwca 2004 r. o skardze na naruszenie prawa strony do rozpoznania sprawy w postępowaniu przygotowawczym prowadzonym lub nadzorowanym przez prokuratora i postępowaniu sądowym bez nieuzasadnionej zwłoki
73.	A	art. 8 k.k.
74.	A	art. 13 § 1 k.k.
75.	C	art. 34 § 2 pkt 1 k.k.
76.	B	art. 39 pkt 1 k.k.
77.	B	art. 67 § 1 k.k.
78.	B	art. 12 ust. 2 ustawy z dnia 20 sierpnia 1997 r. o Krajowym Rejestrze Sądowym
79.	A	art. 2 ust. 2 ustawy z dnia 6 marca 2018 r. o Centralnej Ewidencji i Informacji o Działalności Gospodarczej i Punkcie Informacji dla Przedsiębiorcy
80.	A	art. 29 ust. 1 pkt 3 ustawy z dnia 6 marca 2018 r. o Centralnej Ewidencji i Informacji o Działalności Gospodarczej i Punkcie Informacji dla Przedsiębiorcy
81.	B	art. 6 pkt 2 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
82.	A	art. 18 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
83.	A	art. 185 ust. 2 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
84.	A	art. 219 ust. 1 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe
85.	A	art. 164 ust. 1 ustawy z dnia 15 maja 2015 r. – Prawo restrukturyzacyjne
86.	B	art. 294 ustawy z dnia 15 maja 2015 r. – Prawo restrukturyzacyjne
87.	A	art. 44 k.s.h. 
88.	C	art. 88 k.s.h. 
89.	A	art. 102 k.s.h. 
90.	B	art. 127 § 4 k.s.h. 
91.	A	art. 213 § 2 k.s.h.
92.	C	art. 83 § 1 i 4 k.p. 
93.	B	art. 85 § 3 k.p. 
94.	A	art. 134 k.p. 
95.	C	art. 155 § 1 pkt 5 k.p. 
96.	C	art. 16 ust. 9 ustawy z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych
97.	C	art. 14 § 1 k.r. i o.
98.	B	art. 33 pkt 9 k.r. i o.
99.	A	art. 901 k.r. i o.
100.	B	art. 163 § 1 k.r. i o.
101.	A	art. 172 § 1 k.r. i o.
102.	B	art. 3 ust. 1 ustawy z dnia 6 kwietnia 1984 r. o fundacjach
103.	A	art. 20 ust. 1 ustawy z dnia 8 marca 1990 r. o samorządzie gminnym
104.	B	art. 27 ust. 2 ustawy z dnia 5 czerwca 1998 r. o samorządzie powiatowym
105.	C	art. 89a ust. 1 i 2 ustawy z dnia 5 czerwca 1998 r. o samorządzie województwa
106.	B	art. 7 ust. 2 ustawy z dnia 23 stycznia 2009 r. o wojewodzie i administracji rządowej w województwie
107.	C	art. 27 ust. 2 ustawy z dnia 24 września 2010 r. o ewidencji ludności
108.	C	art. 23 ust. 1a ustawy z dnia 7 września 2007 r. o pomocy osobom uprawnionym do alimentów 
109.	C	art. 18 pkt 3 k.p.a.
110.	B	art. 40 § 2 k.p.a.
111.	C	art. 82 pkt 3 k.p.a. 
112.	C	art. 97 § 1 pkt 4 k.p.a.
113.	B	art. 115 k.p.a.
114.	A	art. 258 § 1 pkt 5 k.p.a. 
115.	B	art. 18i § 1 pkt 1 oraz § 5 ustawy z dnia 17 czerwca 1966 r. o postępowaniu egzekucyjnym w administracji
116.	C	art. 34 § 2 pkt 3 lit. a ustawy z dnia 17 czerwca 1966 r. o postępowaniu egzekucyjnym w administracji
117.	C	art. 59 § 1 pkt 5 ustawy z dnia 17 czerwca 1966 r. o postępowaniu egzekucyjnym w administracji
118.	A	art. 64 § 3 pkt 3 ustawy z dnia 17 czerwca 1966 r. o postępowaniu egzekucyjnym w administracji
119.	A	art. 159 ustawy z dnia 27 sierpnia 2009 r. o finansach publicznych 
120.	C	art. 258 § 1 pkt 2 ustawy z dnia 29 sierpnia 1997 r. – Ordynacja podatkowa
121.	A	art. 3 ust. 1 lit. a i e Traktatu z dnia  25 marca 1957 r. o funkcjonowaniu Unii Europejskiej – tekst uwzględniający zmiany wprowadzone Traktatem z Lizbony
122.	B	art. 14 ust. 3 Traktatu z dnia 7 lutego 1992 r. o Unii Europejskiej – tekst uwzględniający zmiany wprowadzone Traktatem z Lizbony
123.	A	art. 61 ustawy z dnia 4 lutego 2011 r. – Prawo prywatne międzynarodowe
124.	A	art. 7 § 1 ustawy z dnia 8 grudnia 2017 r. o Sądzie Najwyższym
125.	A	art. 16 § 1 ustawy z dnia 8 grudnia 2017 r. o Sądzie Najwyższym
126.	C	art. 21a § 2 ustawy z dnia 27 lipca 2001 r. –Prawo o ustroju sądów powszechnych 
127.	B	art. 26 § 1 ustawy z dnia 27 lipca 2001 r. – Prawo o ustroju sądów powszechnych 
128.	B	art. 9 ustawy z dnia 25 lipca 2002 r. – Prawo o ustroju sądów administracyjnych 
129.	A	art. 23 § 1 ustawy z dnia 25 lipca 2002 r. – Prawo o ustroju sądów administracyjnych 
130.	C	art. 3 ust. 4 pkt 3 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
131.	A	art. 17 ust. 6 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
132.	A	art. 20 ust. 1 pkt 6 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
133.	B	art. 32 ust. 5 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
134.	C	art. 33 ust. 5 w zw. z ust. 4 pkt 4 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
135.	A	art. 38 ust. 2 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
136.	C	art. 45 ust. 1 i 2 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
137.	B	art. 89 ust. 1 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
138.	C	art. 150 ust. 1 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
139.	C	art. 166 ust. 2 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
140.	A	art. 196 ust. 3 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
141.	B	art. 202 ust. 1 pkt 8 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
142.	C	art. 204 ust. 1 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
143.	A	art. 205 ust. 3 i 4 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
144.	C	art. 224 ust. 1 pkt 5 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
145.	B	art. 230 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
146.	B	art. 259 ust. 2 ustawy z dnia 22 marca 2018 r. o komornikach sądowych
147.	A	art. 15 ust. 2a ustawy z dnia 28 lutego 2018 r. o kosztach komorniczych
148.	C	art. 16 ust. 3 ustawy z dnia 28 lutego 2018 r. o kosztach komorniczych
149.	B	art. 23 ust. 1 i ust. 5 ustawy z dnia 28 lutego 2018 r. o kosztach komorniczych
150.	B	art. 36 ust. 1 ustawy z dnia 28 lutego 2018 r. o kosztach komorniczych

