WYKAZ PRAWIDŁOWYCH ODPOWIEDZI DO ZESTAWU PYTAŃ TESTOWYCH 
NA EGZAMIN WSTĘPNY NA APLIKACJĘ NOTARIALNĄ
24 WRZEŚNIA 2022 R.

nr pytania	prawidłowa odpowiedź	podstawa prawna
85.	C	art. 41 § 2 k.s.h.
86.	C	art. 97 § 3 k.s.h.
87.	A	art. 100 § 1 k.s.h.
88.	C	art. 145 § 2 k.s.h.
89.	A	art. 151 § 1 k.s.h.
90.	B	art. 175 § 1 k.s.h.
91.	C	art. 202 § 6 k.s.h.
92.	C	art. 3006 k.s.h.
93.	B	art. 3009 § 1 k.s.h.
94.	A	art. 300122 § 1 k.s.h.
95.	A	art. 303 § 2 k.s.h. 
96.	B	art. 385 § 1 k.s.h.
97.	B	art. 444 § 3 k.s.h.
98. 	A	art. 3 k.p.
99.	B	art. 184 § 1 k.p.
100. 	A	art. 83 ust. 1 pkt 2 i ust. 2 ustawy z dnia 13 października          1998 r. o systemie ubezpieczeń społecznych
101.	A	art. 7 ust. 1 ustawy z dnia 6 sierpnia 2010 r. o dowodach osobistych
102.	C	art. 4 w zw. z art. 3 pkt 11 ustawy z dnia 7 lipca 1994 r. – Prawo budowlane
103.	A	art. 90 ust. 1 ustawy z dnia 8 marca 1990 r. o samorządzie gminnym
104.	B	art. 12 pkt 8 lit. f ustawy z dnia 5 czerwca 1998 r. o samorządzie powiatowym
105.	C	art. 17 ustawy z dnia 5 czerwca 1998 r. o samorządzie województwa
106.	B	art. 29 ust. 1 ustawy z dnia 27 marca 2003 r. o planowaniu i zagospodarowaniu przestrzennym
107.	A	art. 2 ust. 3 w zw. z art. 5 ust. 1 pkt 1 ustawy z dnia 20 lipca 2017 r. o Krajowym Zasobie Nieruchomości 
108.	A	art. 90 ust. 1 ustawy z dnia 28 listopada 2014 r. – Prawo o aktach stanu cywilnego
109.	B	art. 31 § 1 k.p.a.
110.	A	art. 111 § 1 k.p.a.
111.	A	art. 145 § 1 pkt 2 k.p.a.
112.	A	art. 145aa § 2 k.p.a.
113.	B	art. 163b § 1 k.p.a.
114.	A	art. 57a w zw. z art. 134 § 1 ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi
115.	C	art. 106 § 3 ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi
116.	C	art. 142 § 2 ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi
117.	A	art. 161 § 1 pkt 1 ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi
118.	C	art. 210 § 1 ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi
119.	A	art. 285f § 1 ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi
120.	C	art. 2 ust. 2 ustawy z dnia 4 lutego 2011 r. – Prawo prywatne międzynarodowe 
121.	A	art. 18 ust. 1 ustawy z dnia 4 lutego 2011 r. – Prawo prywatne międzynarodowe
122.	C	art. 5 ust. 1 Traktatu z dnia 7 lutego 1992 r. o Unii Europejskiej – tekst skonsolidowany uwzględniający zmiany wprowadzone Traktatem z Lizbony
123.	C	art. 3 ust. 1 lit. a Traktatu z dnia 25 marca 1957 r. o funkcjonowaniu Unii Europejskiej – tekst skonsolidowany uwzględniający zmiany wprowadzone Traktatem z Lizbony 
124.	B	art. 13 § 1 pkt 3 ustawy z dnia 29 sierpnia 1997 r. Ordynacja podatkowa
125.	A	art. 14f § 1 ustawy z dnia 29 sierpnia 1997 r. Ordynacja podatkowa
126.	C	art. 19 § 1 pkt 5 ustawy z dnia 29 sierpnia 1997 r. Ordynacja podatkowa
127.	B	art. 199a § 3 ustawy z dnia 29 sierpnia 1997 r. Ordynacja podatkowa
128.	A	art. 17a ust. 3 ustawy z dnia 28 lipca 1983 r. o podatku od spadków i darowizn
129.	B	art. 11a ust. 3 ustawy z dnia 26 lipca 1991 r. o podatku dochodowym od osób fizycznych
130.	B	art. 9 pkt 6 ustawy z dnia 9 września 2000 r. o podatku od czynności cywilnoprawnych 
131.	A	art. 10 ust. 3a pkt 2 ustawy z dnia 9 września 2000 r. o podatku od czynności cywilnoprawnych 
132.	C	art. 17 ust. 1 Konstytucji Rzeczypospolitej Polskiej
133.	A	art. 98 ust. 3 Konstytucji Rzeczypospolitej Polskiej
134.	B	art. 153 ust. 2 Konstytucji Rzeczypospolitej Polskiej
135.	C	art. 200 Konstytucji Rzeczypospolitej Polskiej
136.	C	art. 12 § 1 ustawy z dnia 8 grudnia 2017 r. o Sądzie Najwyższym
137.	A	art. 81 ustawy z dnia 8 grudnia 2017 r. o Sądzie Najwyższym   
138.	C	art. 87 § 1 ustawy z dnia 8 grudnia 2017 r. o Sądzie Najwyższym
139.	B	art. 2 § 1 i 1a ustawy z dnia 27 lipca 2001 r. – Prawo o ustroju sądów powszechnych
140.	C	art. 21 § 1 pkt 2 ustawy z dnia 27 lipca 2001 r. – Prawo o ustroju sądów powszechnych
141. 	B	art. 84 § 1 ustawy z dnia 27 lipca 2001 r. – Prawo o ustroju sądów powszechnych
142.	B	art. 13 § 2 ustawy z dnia 28 stycznia 2016 r. – Prawo o prokuraturze
143.	C	art. 27 pkt 1 ustawy z dnia 14 lutego 1991 r. – Prawo o notariacie
144.	C	art. 40 § 1 pkt 8 ustawy z dnia 14 lutego 1991 r. – Prawo o notariacie
145.	B	art. 44 § 3 ustawy z dnia 14 lutego 1991 r. – Prawo o notariacie
146.	A	art. 74a § 6 ustawy z dnia 14 lutego 1991 r. – Prawo o notariacie
147.	C	art. 78a § 1 pkt 3 ustawy z dnia 14 lutego 1991 r. – Prawo o notariacie
148.	C	art. 84 § 1 pkt 4 i § 2 ustawy z dnia 14 lutego 1991 r. – Prawo o notariacie
149.	B	art. 95da § 1 ustawy z dnia 14 lutego 1991 r. –  Prawo o notariacie
150.	C	art. 16 ust. 2 pkt 1 ustawy z dnia 15 lipca 1987 r. o Rzeczniku Praw Obywatelskich 

