question,answers,correct_answer,numer pytania,kontekst
"Jeżeli w umowie zastrzeżono że dłużnik spełni świadczenie na rzecz osoby trzeciej osoba ta w braku odmiennego postanowienia umowy może żądać bezpośrednio od dłużnika spełnienia zastrzeżonego świadczenia.
 Jeżeli osoba trzecia oświadczyła którejkolwiek ze stron że chce z zastrzeżenia skorzystać zastrzeżenie co do obowiązku świadczenia na rzecz osoby trzeciej:","a) nie może być odwołane ani zmienione
 b) może być odwołane lub zmienione
 c) może zostać zmienione ale nie może zostać odwołane",a,562,"Art. 393. § 1. Jeżeli w umowie zastrzeżono, że dłużnik spełni świadczenie na
rzecz osoby trzeciej, osoba ta, w braku odmiennego postanowienia umowy, może
żądać bezpośrednio od dłużnika spełnienia zastrzeżonego świadczenia.
§ 2. Zastrzeżenie co do obowiązku świadczenia na rzecz osoby trzeciej nie może
być odwołane ani zmienione, jeżeli osoba trzecia oświadczyła którejkolwiek ze stron,
że chce z zastrzeżenia skorzystać.
§ 3. Dłużnik może podnieść zarzuty z umowy także przeciwko osobie trzeciej."
Zgodnie z warunkami powództwa sąd może na żądanie poszkodowanego przyznać mu zamiast renty lub jej części odszkodowanie jednorazowe. Dotyczy to w szczególności przypadków gdy:,"a) Przyznanie takiego odszkodowania znacząco poprawiłoby sytuację poszkodowanego
 b) Poszkodowany stał się inwalidą a przyznanie jednorazowego odszkodowania ułatwi mu wykonywanie nowego zawodu
 c) Poszkodowany może spożytkować odszkodowanie w sposób korzystniejszy od renty.",b,623,"Art. 447. Z ważnych powodów sąd może na żądanie poszkodowanego przyznać
mu zamiast renty lub jej części odszkodowanie jednorazowe. Dotyczy to
w szczególności wypadku, gdy poszkodowany stał się inwalidą, a przyznanie jedno-
razowego odszkodowania ułatwi mu wykonywanie nowego zawodu."
Z pokwitowania świadczenia okresowego:,"a) wynika domniemanie że spełnione zostały również świadczenia okresowe wymagalne wcześniej
 b) nie wynika domniemanie że spełnione zostały również świadczenia okresowe wymagalne wcześniej
 c) nie wynika domniemanie że spełnione zostały również świadczenia okresowe wymagalne wcześniej chyba że taki zapis zawierała umowa.",a,669,"Art. 466. Z pokwitowania zapłaty dłużnej sumy wynika domniemanie zapłaty
należności ubocznych. Z pokwitowania świadczenia okresowego wynika
domniemanie, że spełnione zostały również świadczenia okresowe wymagalne wcześ-
niej."
Jeżeli świadczenie jednej ze stron stało się niemożliwe tylko częściowo strona ta traci prawo do odpowiedniej części świadczenia wzajemnego. Jednakże druga strona może od umowy odstąpić jeśli:,"a) wykonanie częściowe nie miałoby dla niej znaczenia ze względu na właściwości zobowiązania oraz ze względu na zamierzony przez tę stronę cel umowy wiadomy stronie której świadczenie stało się częściowo niemożliwe 
 b) wykonanie częściowe nie miałoby dla niej znaczenia ze względu na właściwości zobowiązania albo ze względu na zamierzony przez tę stronę cel umowywiadomy stronie której świadczenie stało się częściowo niemożliwe 
 c) wykonanie częściowe nie miałoby dla niej znaczenia ze względu na właściwości zobowiązania oraz ze względu na zamierzony przez tę stronę cel umowy o ile jest on wiadomy stronie której świadczenie stało się częściowo niemożliwe.",b,707,"Art. 495. § 1. Jeżeli jedno ze świadczeń wzajemnych stało się niemożliwe
wskutek okoliczności, za które żadna ze stron odpowiedzialności nie ponosi, strona,
która miała to świadczenie spełnić, nie może żądać świadczenia wzajemnego,
a w wypadku, gdy je już otrzymała, obowiązana jest do zwrotu według przepisów
o bezpodstawnym wzbogaceniu.
§ 2. Jeżeli świadczenie jednej ze stron stało się niemożliwe tylko częściowo,
strona ta traci prawo do odpowiedniej części świadczenia wzajemnego. Jednakże
druga strona może od umowy odstąpić, jeżeli wykonanie częściowe nie miałoby dla
niej znaczenia ze względu na właściwości zobowiązania albo ze względu na
zamierzony przez tę stronę cel umowy, wiadomy stronie, której świadczenie stało się
częściowo niemożliwe."
Uznania czynności prawnej dokonanej z pokrzywdzeniem wierzycieli za bezskuteczną nie można żądać po upływie,"a) 3 lat od daty tej czynności
 b) 5 lat od daty tej czynności
 c) 10 lat od daty tej czynności",b,763,"Art. 534. Uznania czynności prawnej dokonanej z pokrzywdzeniem wierzycieli
za bezskuteczną nie można żądać po upływie lat pięciu od daty tej czynności."
Strony mogą odpowiedzialność z tytułu rękojmi rozszerzyć ograniczyć lub wyłączyć. Uprawnienie to doznaje jednak pewnych ograniczeń (jest dopuszczalne tylko w wypadkach określonych w przepisach szczególnych) w przypadku umów:,"a) zawieranych z udziałem przedsiębiorców
 b) zawieranych z udziałem konsumentów
 c) zawieranych z udziałem Skarbu Państwa",b,801,"Art. 558. § 1. Strony mogą odpowiedzialność z tytułu rękojmi rozszerzyć,
ograniczyć lub wyłączyć. Jeżeli kupującym jest konsument, ograniczenie lub
wyłączenie odpowiedzialności z tytułu rękojmi jest dopuszczalne tylko w
przypadkach określonych w przepisach szczególnych.
§ 2. Wyłączenie lub ograniczenie odpowiedzialności z tytułu rękojmi jest
bezskuteczne, jeżeli sprzedawca zataił podstępnie wadę przed kupującym."
Jeżeli sprzedawca zastrzegł sobie własność sprzedanej rzeczy ruchomej aż do uiszczenia ceny poczytuje się w razie wątpliwości że przeniesieinie własności rzeczy nastąpiło:,"a) pod warunkiem zawieszającym
 b) pod warunkiem rozwiązującym
 c) z zastrzeżeniem terminu",a,851,"Art. 589. Jeżeli sprzedawca zastrzegł sobie własność sprzedanej rzeczy
ruchomej aż do uiszczenia ceny, poczytuje się w razie wątpliwości, że przeniesienie
własności rzeczy nastąpiło pod warunkiem zawieszającym."
Jeżeli stan gospodarstwa producenta w chwili jego przystąpienia do spółdzielni nie pozwala na wykonanie umowy kontraktacji przez spójdzielnię umowa:,"a) wygasa a producent obowiązany jest zwrócić pobrane zaliczki i kredyty bankowe; inne korzyści wynikające z tej umowy obowiązany jest zwrócić w takim zakresie w jakim ich nie użył w celu wykonania umowy.
 b) wygasa a producent obowiązany jest zwrócić pobrane zaliczki i kredyty bankowe oraz inne korzyści wynikające z tej umowy
 c) nie wygasa ale producent obowiązany jest zwrócić pobrane zaliczki i kredyty bankowe oraz inne korzyści wynikające z tej umowy",a,900,"Art. 626. § 1. Jeżeli po zawarciu umowy kontraktacji producent wniósł
posiadane gospodarstwo jako wkład do rolniczej spółdzielni produkcyjnej,
spółdzielnia ta wstępuje w prawa i obowiązki producenta, chyba że stan wniesionego
gospodarstwa stoi temu na przeszkodzie.
§ 2. Jeżeli stan gospodarstwa producenta w chwili jego przystąpienia do
spółdzielni nie pozwala na wykonanie umowy kontraktacji przez spółdzielnię, umowa
wygasa, a producent obowiązany jest zwrócić pobrane zaliczki i kredyty bankowe;
inne korzyści wynikające z tej umowy obowiązany jest zwrócić w takim zakresie,
w jakim ich nie zużył w celu wykonania umowy.
§ 3. Jeżeli producent po przystąpieniu do spółdzielni dokonywa indywidualnie
sprzętu zakontraktowanych zbiorów, ponosi on wyłączną odpowiedzialność za
wykonanie umowy kontraktacji."
Umowa o roboty budowalne powwina zostać zawarta w formie:,"a) pisemnej.
 b) pisemnej z podpisami notarialnie poświadczonymi
 c) ustnej lub pisemnej",a,939,"Art. 648. § 1. Umowa o roboty budowlane powinna być stwierdzona pismem.
§ 2. Wymagana przez właściwe przepisy dokumentacja stanowi część składową
umowy.
§ 3. (uchylony)"
Najemca lokalu powinien stosować się do porządku domowego:,"a) w każdej sytuacji bez ograniczeń
 b) o ile ten nie jest sprzeczny z uprawnieniami wynikającymi z umowy
 c) o ile ten nie jest sprzeczny z zasadami współżycia społęcznego oraz uprawnieniami wynikającymi z umowy.",b,989,"Art. 683. Najemca lokalu powinien stosować się do porządku domowego, o ile
ten nie jest sprzeczny z uprawnieniami wynikającymi z umowy; powinien również
liczyć się z potrzebami innych mieszkańców i sąsiadów."
Za wykonanie zlecienia:,"a) zawsze należy się wynagrodzenie
 b) należy się wynagrodzenie - jeżeli ani z umowy ani z okoliczności nie wynika że przyjmujący zlecenia zobowiązał się wykonać je bez wynagrodzenia
 c) należy się wynagrodzenie tylko wtedy gdy umowa tak ustanowi",b,1057,"Art. 735. § 1. Jeżeli ani z umowy, ani z okoliczności nie wynika, że przyjmujący
zlecenie zobowiązał się wykonać je bez wynagrodzenia, za wykonanie zlecenia należy
się wynagrodzenie.
§ 2. Jeżeli nie ma obowiązującej taryfy, a nie umówiono się o wysokość
wynagrodzenia, należy się wynagrodzenie odpowiadające wykonanej pracy."
W braku odmiennego postanowienia umowy agent może domagać się zwrotu wydatków związanych z wykonaniem zlecenia tylko o tyle o ile:,"a) ich wysokość przekracza zwykłą w danych stosunkach miarę
 b) zostały udokumentowane i tylko do wysokości wydatków która przekraczała zwykłą w danych stosunkach miarę
 c) były uzasadnione i o ile ich wysokość przekracza zwykłą w danych stosunkach miarę",c,1110,"Art. 762. W braku odmiennego postanowienia umowy agent może domagać się
zwrotu wydatków związanych z wykonaniem zlecenia tylko o tyle, o ile były
uzasadnione i o ile ich wysokość przekracza zwykłą w danych stosunkach miarę."
Jeżeli rozpoczęcie lub dokonanie przewozu dozna czasowej przeszkody wskutek okoliczności dotyczącej przewoźnika wysyłający może od umowy odstąpić powinien jednak dać przewoźnikowi odpowiednie wynagrodzenie za dokonaną część przewozu w granicach tego co na kosztach przewozu oszczędził:,"a) nie wyłącza to roszczenia o naprawienie szkody jeżeli przeszkoda była następstwem okoliczności za które przewoźnik ponosi odpowiedzialność
 b) wyłącza to roszczenie o naprawienie szkody
 c) wyłącza to roszczenie o naprawienie szkody chyba że przeszkoda była następstwem dla okoliczności za które przewoźnik ponosi odpowiedzialność",a,1149,"Art. 783. Jeżeli rozpoczęcie lub dokonanie przewozu dozna czasowej
przeszkody wskutek okoliczności dotyczącej przewoźnika, wysyłający może od
umowy odstąpić, powinien jednak dać przewoźnikowi odpowiednie wynagrodzenie
za dokonaną część przewozu w granicach tego, co na kosztach przewozu oszczędził.
Nie wyłącza to roszczenia o naprawienie szkody, jeżeli przeszkoda była następstwem
okoliczności, za które przewoźnik ponosi odpowiedzialność."
